Interval(second),B,G,R
0.000000 to 0.200000,1,1,1
0.200000 to 0.400000,8,5,5
0.400000 to 0.600000,30,24,48
0.600000 to 0.800000,53,52,63
0.800000 to 1.000000,51,33,13
1.000000 to 1.200000,27,27,27
1.200000 to 1.400000,27,20,21
1.400000 to 1.600000,5,5,5
1.600000 to 1.800000,34,28,32
1.800000 to 2.000000,5,23,46
2.000000 to 2.200000,51,42,56
2.200000 to 2.400000,27,35,39
2.400000 to 2.600000,4,4,8
2.600000 to 2.800000,15,21,23
2.800000 to 3.000000,40,15,8
3.000000 to 3.200000,31,44,50
3.200000 to 3.400000,26,28,35
3.400000 to 3.600000,17,19,12
3.600000 to 3.800000,0,0,0
3.800000 to 4.000000,2,2,2
4.000000 to 4.200000,5,4,2
4.200000 to 4.400000,11,0,6
4.400000 to 4.600000,1,1,1
4.600000 to 4.800000,72,46,60
4.800000 to 5.000000,52,20,30
5.000000 to 5.200000,0,7,19
5.200000 to 5.400000,15,13,11
5.400000 to 5.600000,16,2,11
5.600000 to 5.800000,26,27,33
5.800000 to 6.000000,18,16,15
6.000000 to 6.200000,32,9,11
6.200000 to 6.400000,2,28,40
6.400000 to 6.600000,9,2,3
6.600000 to 6.800000,7,2,12
6.800000 to 7.000000,5,29,15
7.000000 to 7.200000,48,15,25
7.200000 to 7.400000,31,19,18
7.400000 to 7.600000,3,3,38
7.600000 to 7.800000,5,5,15
7.800000 to 8.000000,3,5,5
8.000000 to 8.200000,21,2,18
8.200000 to 8.400000,4,1,8
8.400000 to 8.600000,120,29,231
8.600000 to 8.800000,30,40,48
8.800000 to 9.000000,73,57,25
9.000000 to 9.200000,29,21,11
9.200000 to 9.400000,72,68,58
9.400000 to 9.600000,199,192,214
9.600000 to 9.800000,33,35,38
9.800000 to 10.000000,11,8,19
10.000000 to 10.200000,36,41,56
10.200000 to 10.400000,30,2,3
10.400000 to 10.600000,20,0,104
10.600000 to 10.800000,5,6,5
10.800000 to 11.000000,36,43,5
11.000000 to 11.200000,26,8,11
11.200000 to 11.400000,100,98,119
11.400000 to 11.600000,5,10,54
11.600000 to 11.800000,12,17,30
11.800000 to 12.000000,22,27,23
12.000000 to 12.200000,9,3,30
12.200000 to 12.400000,15,12,9
12.400000 to 12.600000,219,172,130
12.600000 to 12.800000,78,83,69
12.800000 to 13.000000,40,38,1
13.000000 to 13.200000,0,1,0
13.200000 to 13.400000,19,11,22
13.400000 to 13.600000,0,0,0
