Interval(second),B,G,R
0.000000 to 0.200000,0,0,0
0.200000 to 0.400000,0,0,0
0.400000 to 0.600000,0,0,0
0.600000 to 0.800000,1,1,1
0.800000 to 1.000000,0,0,0
1.000000 to 1.200000,0,0,0
1.200000 to 1.400000,0,0,0
1.400000 to 1.600000,0,0,0
1.600000 to 1.800000,0,0,0
1.800000 to 2.000000,0,0,0
2.000000 to 2.200000,0,0,0
2.200000 to 2.400000,0,1,8
2.400000 to 2.600000,0,0,0
2.600000 to 2.800000,4,1,1
2.800000 to 3.000000,3,0,0
3.000000 to 3.200000,7,5,5
3.200000 to 3.400000,3,0,0
3.400000 to 3.600000,1,0,3
3.600000 to 3.800000,1,2,1
3.800000 to 4.000000,0,0,0
4.000000 to 4.200000,1,1,1
4.200000 to 4.400000,0,0,0
4.400000 to 4.600000,0,0,0
4.600000 to 4.800000,0,0,0
4.800000 to 5.000000,0,1,1
5.000000 to 5.200000,3,1,1
5.200000 to 5.400000,1,1,1
5.400000 to 5.600000,1,3,1
5.600000 to 5.800000,0,0,0
5.800000 to 6.000000,0,0,0
6.000000 to 6.200000,1,0,0
6.200000 to 6.400000,1,2,0
6.400000 to 6.600000,0,0,0
6.600000 to 6.800000,1,2,1
6.800000 to 7.000000,1,1,1
7.000000 to 7.200000,1,2,3
7.200000 to 7.400000,0,0,0
