Interval(second),B,G,R
0.000000 to 0.200000,5,4,7
0.200000 to 0.400000,4,1,4
0.400000 to 0.600000,5,5,5
0.600000 to 0.800000,2,5,4
0.800000 to 1.000000,1,1,0
1.000000 to 1.200000,0,2,4
1.200000 to 1.400000,2,1,0
1.400000 to 1.600000,1,0,5
1.600000 to 1.800000,1,0,2
1.800000 to 2.000000,3,1,1
2.000000 to 2.200000,6,4,3
2.200000 to 2.400000,5,1,1
2.400000 to 2.600000,0,0,0
2.600000 to 2.800000,1,1,1
2.800000 to 3.000000,1,1,6
3.000000 to 3.200000,0,0,0
3.200000 to 3.400000,0,0,0
3.400000 to 3.600000,20,14,12
3.600000 to 3.800000,8,15,23
3.800000 to 4.000000,0,0,0
4.000000 to 4.200000,10,13,12
4.200000 to 4.400000,3,7,2
4.400000 to 4.600000,0,0,0
4.600000 to 4.800000,18,27,26
4.800000 to 5.000000,2,8,9
5.000000 to 5.200000,35,29,18
5.200000 to 5.400000,0,0,0
5.400000 to 5.600000,0,0,0
5.600000 to 5.800000,11,10,14
5.800000 to 6.000000,24,20,13
6.000000 to 6.200000,43,32,36
6.200000 to 6.400000,32,34,36
6.400000 to 6.600000,8,18,13
6.600000 to 6.800000,1,4,3
6.800000 to 7.000000,0,0,0
7.000000 to 7.200000,0,0,0
7.200000 to 7.400000,26,31,30
7.400000 to 7.600000,16,15,10
7.600000 to 7.800000,54,38,52
7.800000 to 8.000000,23,21,14
8.000000 to 8.200000,10,8,7
8.200000 to 8.400000,0,0,0
8.400000 to 8.600000,12,8,11
8.600000 to 8.800000,50,48,53
8.800000 to 9.000000,0,0,0
9.000000 to 9.200000,64,58,57
9.200000 to 9.400000,16,12,12
9.400000 to 9.600000,38,36,38
9.600000 to 9.800000,6,6,11
9.800000 to 10.000000,0,0,0
10.000000 to 10.200000,0,0,0
10.200000 to 10.400000,29,9,2
10.400000 to 10.600000,0,0,0
10.600000 to 10.800000,24,35,29
10.800000 to 11.000000,0,0,0
11.000000 to 11.200000,7,28,20
11.200000 to 11.400000,46,94,113
11.400000 to 11.600000,7,16,10
11.600000 to 11.800000,3,3,3
11.800000 to 12.000000,19,3,10
12.000000 to 12.200000,33,19,19
12.200000 to 12.400000,114,119,116
12.400000 to 12.600000,9,12,10
12.600000 to 12.800000,5,8,6
12.800000 to 13.000000,18,16,10
13.000000 to 13.200000,40,51,65
13.200000 to 13.400000,25,34,46
13.400000 to 13.600000,10,42,8
13.600000 to 13.800000,145,214,178
13.800000 to 14.000000,10,13,11
14.000000 to 14.200000,8,9,4
14.200000 to 14.400000,9,19,18
14.400000 to 14.600000,0,0,0
14.600000 to 14.800000,0,0,0
14.800000 to 15.000000,14,8,15
15.000000 to 15.200000,21,19,45
15.200000 to 15.400000,3,2,5
15.400000 to 15.600000,12,13,17
15.600000 to 15.800000,1,5,14
15.800000 to 16.000000,23,35,33
16.000000 to 16.200000,26,47,26
16.200000 to 16.400000,0,0,0
