Interval(second),B,G,R
0.000000 to 0.200000,18,19,28
0.200000 to 0.400000,0,0,0
0.400000 to 0.600000,25,30,35
0.600000 to 0.800000,0,0,0
0.800000 to 1.000000,25,56,89
1.000000 to 1.200000,45,31,15
1.200000 to 1.400000,0,0,0
1.400000 to 1.600000,11,6,4
1.600000 to 1.800000,165,140,57
1.800000 to 2.000000,6,6,11
2.000000 to 2.200000,83,82,57
2.200000 to 2.400000,0,0,0
2.400000 to 2.600000,1,1,1
2.600000 to 2.800000,0,0,0
2.800000 to 3.000000,19,19,27
3.000000 to 3.200000,16,13,15
3.200000 to 3.400000,9,6,7
3.400000 to 3.600000,23,20,43
3.600000 to 3.800000,7,4,2
3.800000 to 4.000000,0,0,0
4.000000 to 4.200000,91,92,42
4.200000 to 4.400000,0,0,0
4.400000 to 4.600000,70,40,20
4.600000 to 4.800000,0,0,0
4.800000 to 5.000000,118,92,68
5.000000 to 5.200000,0,0,0
5.200000 to 5.400000,8,54,60
5.400000 to 5.600000,21,45,22
5.600000 to 5.800000,27,27,13
5.800000 to 6.000000,38,16,2
6.000000 to 6.200000,11,15,5
6.200000 to 6.400000,47,21,5
6.400000 to 6.600000,38,42,35
6.600000 to 6.800000,60,51,36
6.800000 to 7.000000,35,43,34
7.000000 to 7.200000,0,0,0
7.200000 to 7.400000,0,0,0
7.400000 to 7.600000,0,0,0
7.600000 to 7.800000,40,44,32
7.800000 to 8.000000,120,93,63
8.000000 to 8.200000,68,57,31
8.200000 to 8.400000,87,71,33
8.400000 to 8.600000,195,178,133
8.600000 to 8.800000,50,51,33
8.800000 to 9.000000,26,8,5
9.000000 to 9.200000,7,8,19
9.200000 to 9.400000,10,10,16
9.400000 to 9.600000,21,24,21
9.600000 to 9.800000,1,1,1
9.800000 to 10.000000,91,83,66
10.000000 to 10.200000,36,27,27
10.200000 to 10.400000,8,5,1
10.400000 to 10.600000,0,0,0
10.600000 to 10.800000,85,92,43
10.800000 to 11.000000,154,143,79
11.000000 to 11.200000,24,17,16
11.200000 to 11.400000,0,2,7
11.400000 to 11.600000,13,21,50
11.600000 to 11.800000,33,1,18
11.800000 to 12.000000,0,0,0
12.000000 to 12.200000,137,150,98
12.200000 to 12.400000,125,116,95
12.400000 to 12.600000,0,0,0
12.600000 to 12.800000,0,0,0
12.800000 to 13.000000,3,3,3
13.000000 to 13.200000,5,7,9
13.200000 to 13.400000,0,0,0
13.400000 to 13.600000,8,8,8
13.600000 to 13.800000,4,4,4
13.800000 to 14.000000,3,3,3
14.000000 to 14.200000,3,5,7
14.200000 to 14.400000,0,0,0
14.400000 to 14.600000,8,8,8
14.600000 to 14.800000,11,15,18
14.800000 to 15.000000,0,0,0
15.000000 to 15.200000,3,2,5
15.200000 to 15.400000,9,15,12
15.400000 to 15.600000,14,13,11
15.600000 to 15.800000,13,13,11
15.800000 to 16.000000,0,0,0
