Interval(second),B,G,R
0.000000 to 0.200000,3,0,2
0.200000 to 0.400000,0,0,0
0.400000 to 0.600000,1,1,1
0.600000 to 0.800000,58,53,59
0.800000 to 1.000000,32,30,28
1.000000 to 1.200000,1,4,3
1.200000 to 1.400000,208,207,196
1.400000 to 1.600000,3,16,16
1.600000 to 1.800000,9,14,8
1.800000 to 2.000000,1,2,13
2.000000 to 2.200000,4,9,1
2.200000 to 2.400000,140,152,130
2.400000 to 2.600000,52,41,18
2.600000 to 2.800000,41,43,17
2.800000 to 3.000000,0,0,2
3.000000 to 3.200000,3,2,1
3.200000 to 3.400000,123,147,118
3.400000 to 3.600000,2,0,0
3.600000 to 3.800000,12,12,7
3.800000 to 4.000000,15,18,15
4.000000 to 4.200000,2,3,1
4.200000 to 4.400000,253,255,239
4.400000 to 4.600000,4,4,4
4.600000 to 4.800000,13,13,13
4.800000 to 5.000000,10,7,8
5.000000 to 5.200000,38,28,48
5.200000 to 5.400000,14,8,11
5.400000 to 5.600000,0,0,0
5.600000 to 5.800000,54,56,63
5.800000 to 6.000000,2,0,1
6.000000 to 6.200000,9,7,12
6.200000 to 6.400000,15,12,13
6.400000 to 6.600000,115,139,169
6.600000 to 6.800000,1,1,1
6.800000 to 7.000000,5,3,1
7.000000 to 7.200000,186,173,148
7.200000 to 7.400000,2,11,19
7.400000 to 7.600000,248,236,229
7.600000 to 7.800000,0,0,0
7.800000 to 8.000000,0,0,0
8.000000 to 8.200000,24,18,21
8.200000 to 8.400000,0,0,0
8.400000 to 8.600000,12,11,14
8.600000 to 8.800000,1,0,1
8.800000 to 9.000000,18,18,18
9.000000 to 9.200000,188,202,200
9.200000 to 9.400000,0,0,0
9.400000 to 9.600000,0,0,0
9.600000 to 9.800000,252,255,254
9.800000 to 10.000000,0,0,2
10.000000 to 10.200000,1,1,1
10.200000 to 10.400000,0,0,0
10.400000 to 10.600000,40,51,26
10.600000 to 10.800000,0,0,0
10.800000 to 11.000000,0,1,7
11.000000 to 11.200000,239,254,245
11.200000 to 11.400000,21,8,19
11.400000 to 11.600000,0,0,0
11.600000 to 11.800000,0,0,0
11.800000 to 12.000000,1,0,2
12.000000 to 12.200000,2,0,0
12.200000 to 12.400000,0,0,0
12.400000 to 12.600000,0,0,0
12.600000 to 12.800000,2,0,0
12.800000 to 13.000000,0,0,0
13.000000 to 13.200000,2,0,0
13.200000 to 13.400000,0,0,0
13.400000 to 13.600000,0,0,0
13.600000 to 13.800000,3,0,1
13.800000 to 14.000000,249,243,233
14.000000 to 14.200000,1,2,1
14.200000 to 14.400000,45,41,20
14.400000 to 14.600000,2,1,0
14.600000 to 14.800000,2,3,2
14.800000 to 15.000000,7,8,5
15.000000 to 15.200000,1,1,1
15.200000 to 15.400000,0,0,0
15.400000 to 15.600000,91,85,56
