Interval(second),B,G,R
0.000000 to 0.200000,0,0,0
0.200000 to 0.400000,49,8,169
0.400000 to 0.600000,4,1,6
0.600000 to 0.800000,121,121,89
0.800000 to 1.000000,51,36,14
1.000000 to 1.200000,12,6,1
1.200000 to 1.400000,10,16,11
1.400000 to 1.600000,10,2,4
1.600000 to 1.800000,5,5,1
1.800000 to 2.000000,1,2,1
2.000000 to 2.200000,3,3,0
2.200000 to 2.400000,170,133,128
2.400000 to 2.600000,50,12,16
2.600000 to 2.800000,21,11,1
2.800000 to 3.000000,81,73,76
3.000000 to 3.200000,3,6,2
3.200000 to 3.400000,12,10,3
3.400000 to 3.600000,22,13,9
3.600000 to 3.800000,19,18,21
3.800000 to 4.000000,0,3,0
4.000000 to 4.200000,5,6,3
4.200000 to 4.400000,16,7,6
4.400000 to 4.600000,16,13,9
4.600000 to 4.800000,7,3,6
4.800000 to 5.000000,7,4,1
5.000000 to 5.200000,1,3,4
5.200000 to 5.400000,22,13,26
5.400000 to 5.600000,59,39,42
5.600000 to 5.800000,136,92,65
5.800000 to 6.000000,3,25,2
6.000000 to 6.200000,81,38,29
6.200000 to 6.400000,20,16,21
6.400000 to 6.600000,111,47,55
6.600000 to 6.800000,8,40,78
6.800000 to 7.000000,16,2,3
7.000000 to 7.200000,13,15,7
7.200000 to 7.400000,23,25,30
7.400000 to 7.600000,16,5,7
7.600000 to 7.800000,9,10,7
7.800000 to 8.000000,11,20,16
8.000000 to 8.200000,7,6,3
8.200000 to 8.400000,23,19,26
8.400000 to 8.600000,120,101,91
8.600000 to 8.800000,146,95,68
8.800000 to 9.000000,91,96,46
9.000000 to 9.200000,24,37,71
9.200000 to 9.400000,14,36,7
9.400000 to 9.600000,204,172,184
9.600000 to 9.800000,221,113,20
9.800000 to 10.000000,36,7,17
10.000000 to 10.200000,76,89,103
10.200000 to 10.400000,25,17,48
10.400000 to 10.600000,1,25,65
10.600000 to 10.800000,26,29,6
10.800000 to 11.000000,111,73,68
11.000000 to 11.200000,42,71,18
11.200000 to 11.400000,54,55,57
11.400000 to 11.600000,8,1,24
11.600000 to 11.800000,62,39,26
11.800000 to 12.000000,129,107,122
12.000000 to 12.200000,8,10,14
12.200000 to 12.400000,6,5,8
12.400000 to 12.600000,27,10,7
12.600000 to 12.800000,61,60,44
12.800000 to 13.000000,146,122,126
13.000000 to 13.200000,4,1,4
13.200000 to 13.400000,0,0,0
13.400000 to 13.600000,5,2,3
