Interval(second),B,G,R
0.000000 to 0.200000,17,17,17
0.200000 to 0.400000,57,55,55
0.400000 to 0.600000,12,13,15
0.600000 to 0.800000,6,6,6
0.800000 to 1.000000,7,5,3
1.000000 to 1.200000,2,2,2
1.200000 to 1.400000,3,0,1
1.400000 to 1.600000,2,3,0
1.600000 to 1.800000,5,2,8
1.800000 to 2.000000,1,3,1
2.000000 to 2.200000,3,3,3
2.200000 to 2.400000,1,2,0
2.400000 to 2.600000,3,1,1
2.600000 to 2.800000,2,2,1
2.800000 to 3.000000,0,0,0
3.000000 to 3.200000,7,6,8
3.200000 to 3.400000,0,0,0
3.400000 to 3.600000,48,41,41
3.600000 to 3.800000,0,0,0
3.800000 to 4.000000,7,15,7
4.000000 to 4.200000,29,29,43
4.200000 to 4.400000,0,2,3
4.400000 to 4.600000,12,12,12
4.600000 to 4.800000,46,30,43
4.800000 to 5.000000,0,0,0
5.000000 to 5.200000,43,52,52
5.200000 to 5.400000,14,15,12
5.400000 to 5.600000,26,29,32
5.600000 to 5.800000,11,6,5
5.800000 to 6.000000,0,0,0
6.000000 to 6.200000,0,0,0
6.200000 to 6.400000,0,0,0
6.400000 to 6.600000,12,14,16
6.600000 to 6.800000,46,47,71
6.800000 to 7.000000,48,39,54
7.000000 to 7.200000,0,0,0
7.200000 to 7.400000,14,17,14
7.400000 to 7.600000,3,2,4
7.600000 to 7.800000,4,9,0
7.800000 to 8.000000,0,0,0
8.000000 to 8.200000,0,0,0
8.200000 to 8.400000,8,9,2
8.400000 to 8.600000,31,25,13
8.600000 to 8.800000,73,115,105
8.800000 to 9.000000,22,16,0
9.000000 to 9.200000,16,15,7
9.200000 to 9.400000,30,11,20
9.400000 to 9.600000,13,21,11
9.600000 to 9.800000,0,0,0
9.800000 to 10.000000,45,79,72
10.000000 to 10.200000,14,7,8
10.200000 to 10.400000,0,0,0
10.400000 to 10.600000,48,73,67
10.600000 to 10.800000,0,0,0
10.800000 to 11.000000,0,0,0
11.000000 to 11.200000,31,13,27
11.200000 to 11.400000,67,0,32
11.400000 to 11.600000,44,13,16
11.600000 to 11.800000,2,0,1
11.800000 to 12.000000,45,55,34
12.000000 to 12.200000,2,71,50
12.200000 to 12.400000,33,35,35
12.400000 to 12.600000,16,13,7
12.600000 to 12.800000,2,10,7
12.800000 to 13.000000,78,48,69
13.000000 to 13.200000,0,0,0
13.200000 to 13.400000,0,0,0
13.400000 to 13.600000,2,0,4
13.600000 to 13.800000,19,35,39
13.800000 to 14.000000,25,35,30
14.000000 to 14.200000,17,22,22
14.200000 to 14.400000,18,43,11
14.400000 to 14.600000,0,0,0
14.600000 to 14.800000,0,0,0
14.800000 to 15.000000,13,15,10
15.000000 to 15.200000,5,4,7
15.200000 to 15.400000,37,33,72
15.400000 to 15.600000,34,49,29
15.600000 to 15.800000,15,18,31
15.800000 to 16.000000,2,2,18
16.000000 to 16.200000,0,0,0
16.200000 to 16.400000,4,11,1
