Interval(second),B,G,R
0.000000 to 0.200000,39,40,24
0.200000 to 0.400000,13,11,11
0.400000 to 0.600000,0,0,0
0.600000 to 0.800000,2,2,2
0.800000 to 1.000000,22,30,35
1.000000 to 1.200000,29,16,5
1.200000 to 1.400000,56,41,23
1.400000 to 1.600000,8,9,7
1.600000 to 1.800000,42,38,23
1.800000 to 2.000000,8,28,48
2.000000 to 2.200000,0,0,0
2.200000 to 2.400000,0,0,0
2.400000 to 2.600000,1,1,6
2.600000 to 2.800000,0,0,0
2.800000 to 3.000000,7,10,25
3.000000 to 3.200000,0,0,0
3.200000 to 3.400000,2,4,4
3.400000 to 3.600000,1,1,1
3.600000 to 3.800000,0,0,0
3.800000 to 4.000000,0,0,0
4.000000 to 4.200000,1,2,5
4.200000 to 4.400000,22,41,26
4.400000 to 4.600000,95,46,27
4.600000 to 4.800000,51,32,13
4.800000 to 5.000000,124,108,63
5.000000 to 5.200000,25,31,32
5.200000 to 5.400000,104,56,27
5.400000 to 5.600000,21,39,18
5.600000 to 5.800000,36,42,25
5.800000 to 6.000000,9,17,21
6.000000 to 6.200000,0,0,0
6.200000 to 6.400000,161,125,62
6.400000 to 6.600000,20,18,18
6.600000 to 6.800000,52,45,32
6.800000 to 7.000000,112,91,70
7.000000 to 7.200000,80,57,44
7.200000 to 7.400000,4,8,5
7.400000 to 7.600000,97,76,53
7.600000 to 7.800000,0,0,0
7.800000 to 8.000000,118,86,52
8.000000 to 8.200000,135,86,35
8.200000 to 8.400000,49,37,30
8.400000 to 8.600000,0,0,0
8.600000 to 8.800000,31,16,9
8.800000 to 9.000000,0,0,0
9.000000 to 9.200000,0,0,0
9.200000 to 9.400000,0,0,0
9.400000 to 9.600000,4,5,3
9.600000 to 9.800000,0,0,0
9.800000 to 10.000000,0,0,0
10.000000 to 10.200000,23,7,6
10.200000 to 10.400000,0,3,2
10.400000 to 10.600000,0,0,0
10.600000 to 10.800000,101,114,75
10.800000 to 11.000000,168,161,119
11.000000 to 11.200000,18,10,7
11.200000 to 11.400000,49,19,3
11.400000 to 11.600000,30,49,73
11.600000 to 11.800000,6,4,16
11.800000 to 12.000000,91,107,73
12.000000 to 12.200000,144,145,95
12.200000 to 12.400000,177,166,129
12.400000 to 12.600000,0,0,0
12.600000 to 12.800000,0,0,0
12.800000 to 13.000000,0,0,0
13.000000 to 13.200000,3,0,0
13.200000 to 13.400000,9,9,9
13.400000 to 13.600000,0,0,0
13.600000 to 13.800000,0,0,0
13.800000 to 14.000000,0,0,0
14.000000 to 14.200000,0,0,0
14.200000 to 14.400000,0,0,0
14.400000 to 14.600000,0,0,0
14.600000 to 14.800000,6,9,7
14.800000 to 15.000000,7,7,5
15.000000 to 15.200000,10,10,10
15.200000 to 15.400000,0,0,0
15.400000 to 15.600000,2,2,3
15.600000 to 15.800000,0,0,0
15.800000 to 16.000000,10,10,10
