Interval(second),B,G,R
0.000000 to 0.200000,1,1,1
0.200000 to 0.400000,11,14,13
0.400000 to 0.600000,14,14,14
0.600000 to 0.800000,2,0,0
0.800000 to 1.000000,0,0,0
1.000000 to 1.200000,1,1,1
1.200000 to 1.400000,0,0,0
1.400000 to 1.600000,37,40,39
1.600000 to 1.800000,6,4,4
1.800000 to 2.000000,0,0,0
2.000000 to 2.200000,0,0,0
2.200000 to 2.400000,45,57,60
2.400000 to 2.600000,153,165,136
2.600000 to 2.800000,17,14,10
2.800000 to 3.000000,10,1,2
3.000000 to 3.200000,7,2,3
3.200000 to 3.400000,35,26,16
3.400000 to 3.600000,2,0,0
3.600000 to 3.800000,25,33,25
3.800000 to 4.000000,0,0,0
4.000000 to 4.200000,58,62,45
4.200000 to 4.400000,195,201,221
4.400000 to 4.600000,2,0,0
4.600000 to 4.800000,209,234,226
4.800000 to 5.000000,20,24,21
5.000000 to 5.200000,7,11,12
5.200000 to 5.400000,0,0,0
5.400000 to 5.600000,1,1,1
5.600000 to 5.800000,48,65,64
5.800000 to 6.000000,3,2,5
6.000000 to 6.200000,20,17,18
6.200000 to 6.400000,27,21,24
6.400000 to 6.600000,21,16,22
6.600000 to 6.800000,1,0,3
6.800000 to 7.000000,3,1,1
7.000000 to 7.200000,85,73,101
7.200000 to 7.400000,0,0,0
7.400000 to 7.600000,142,148,145
7.600000 to 7.800000,1,0,3
7.800000 to 8.000000,2,0,0
8.000000 to 8.200000,2,0,0
8.200000 to 8.400000,0,0,0
8.400000 to 8.600000,1,2,0
8.600000 to 8.800000,10,13,18
8.800000 to 9.000000,0,0,0
9.000000 to 9.200000,0,0,0
9.200000 to 9.400000,5,5,5
9.400000 to 9.600000,3,2,1
9.600000 to 9.800000,222,214,204
9.800000 to 10.000000,24,22,13
10.000000 to 10.200000,10,10,10
10.200000 to 10.400000,21,24,16
10.400000 to 10.600000,7,18,20
10.600000 to 10.800000,115,97,116
10.800000 to 11.000000,1,4,3
11.000000 to 11.200000,20,19,12
11.200000 to 11.400000,251,240,231
11.400000 to 11.600000,0,0,0
11.600000 to 11.800000,0,0,0
11.800000 to 12.000000,3,0,2
12.000000 to 12.200000,0,0,0
12.200000 to 12.400000,0,0,0
12.400000 to 12.600000,0,0,0
12.600000 to 12.800000,0,0,0
12.800000 to 13.000000,5,1,6
13.000000 to 13.200000,8,5,6
13.200000 to 13.400000,0,0,0
13.400000 to 13.600000,0,0,0
13.600000 to 13.800000,17,25,28
13.800000 to 14.000000,235,234,223
14.000000 to 14.200000,2,1,6
14.200000 to 14.400000,188,214,191
14.400000 to 14.600000,0,0,0
14.600000 to 14.800000,64,64,52
14.800000 to 15.000000,13,8,3
15.000000 to 15.200000,22,21,18
15.200000 to 15.400000,61,60,26
15.400000 to 15.600000,6,8,14
