Interval(second),B,G,R
0.000000 to 0.200000,310.0,136.0,2215.0
0.200000 to 0.400000,9412.0,9752.0,5798.0
0.400000 to 0.600000,6767.0,6668.0,4134.0
0.600000 to 0.800000,9375.0,12088.0,7782.0
0.800000 to 1.000000,26167.0,20689.0,14316.0
1.000000 to 1.200000,7562.0,6894.0,5220.0
1.200000 to 1.400000,1.0,1258.0,2106.0
1.400000 to 1.600000,1172.0,841.0,1010.0
1.600000 to 1.800000,5456.0,4583.0,4209.0
1.800000 to 2.000000,2380.0,3335.0,5044.0
2.000000 to 2.200000,3356.0,3043.0,2832.0
2.200000 to 2.400000,637.0,674.0,1286.0
2.400000 to 2.600000,867.0,292.0,501.0
2.600000 to 2.800000,966.0,965.0,862.0
2.800000 to 3.000000,2690.0,3025.0,4361.0
3.000000 to 3.200000,435.0,526.0,742.0
3.200000 to 3.400000,182.0,336.0,236.0
3.400000 to 3.600000,683.0,1262.0,1681.0
3.600000 to 3.800000,926.0,703.0,1065.0
3.800000 to 4.000000,1147.0,1881.0,2266.0
4.000000 to 4.200000,2650.0,1915.0,1916.0
4.200000 to 4.400000,1524.0,258.0,802.0
4.400000 to 4.600000,405.0,498.0,513.0
4.600000 to 4.800000,14632.0,24259.0,31459.0
4.800000 to 5.000000,4936.0,3523.0,3311.0
5.000000 to 5.200000,4479.0,3864.0,4369.0
5.200000 to 5.400000,1026.0,1225.0,2761.0
5.400000 to 5.600000,643.0,3969.0,5365.0
5.600000 to 5.800000,1183.0,491.0,86.0
5.800000 to 6.000000,3131.0,4174.0,4201.0
6.000000 to 6.200000,81.0,1321.0,1405.0
6.200000 to 6.400000,1208.0,372.0,1378.0
6.400000 to 6.600000,2532.0,913.0,1509.0
6.600000 to 6.800000,11268.0,10026.0,13268.0
6.800000 to 7.000000,13130.0,10211.0,9271.0
7.000000 to 7.200000,664.0,2188.0,3765.0
7.200000 to 7.400000,3191.0,2256.0,2762.0
7.400000 to 7.600000,1195.0,1250.0,2850.0
7.600000 to 7.800000,4695.0,4313.0,5340.0
7.800000 to 8.000000,14404.0,13227.0,15253.0
8.000000 to 8.200000,1884.0,713.0,4017.0
8.200000 to 8.400000,8077.0,6870.0,15341.0
8.400000 to 8.600000,2559.0,2037.0,3210.0
8.600000 to 8.800000,20699.0,20527.0,15514.0
8.800000 to 9.000000,3528.0,4140.0,3392.0
9.000000 to 9.200000,4314.0,4217.0,4863.0
9.200000 to 9.400000,1336.0,2052.0,4753.0
9.400000 to 9.600000,4075.0,568.0,3884.0
9.600000 to 9.800000,640.0,111.0,876.0
9.800000 to 10.000000,1459.0,1042.0,2442.0
10.000000 to 10.200000,854.0,2105.0,4090.0
10.200000 to 10.400000,240.0,329.0,1353.0
10.400000 to 10.600000,1176.0,2449.0,4807.0
10.600000 to 10.800000,6201.0,5917.0,4172.0
10.800000 to 11.000000,582.0,1382.0,787.0
11.000000 to 11.200000,8597.0,6053.0,2177.0
11.200000 to 11.400000,1779.0,1468.0,5332.0
11.400000 to 11.600000,1312.0,1486.0,441.0
11.600000 to 11.800000,8942.0,6566.0,4294.0
11.800000 to 12.000000,153.0,888.0,4269.0
12.000000 to 12.200000,1205.0,1370.0,1856.0
12.200000 to 12.400000,4107.0,2903.0,3362.0
12.400000 to 12.600000,18027.0,18211.0,12764.0
12.600000 to 12.800000,3469.0,4858.0,5678.0
12.800000 to 13.000000,17137.0,19538.0,14264.0
13.000000 to 13.200000,1726.0,3103.0,4197.0
13.200000 to 13.400000,17332.0,16235.0,11743.0
13.400000 to 13.600000,4899.0,4868.0,4480.0
