Interval(second),B,G,R
0.000000 to 0.200000,57.0,30.0,62.0
0.200000 to 0.400000,92.0,29.0,45.0
0.400000 to 0.600000,11.0,105.0,0.0
0.600000 to 0.800000,4.0,55.0,49.0
0.800000 to 1.000000,55.0,18.0,21.0
1.000000 to 1.200000,100.0,184.0,72.0
1.200000 to 1.400000,61.0,67.0,52.0
1.400000 to 1.600000,161.0,74.0,141.0
1.600000 to 1.800000,59.0,123.0,87.0
1.800000 to 2.000000,104.0,68.0,191.0
2.000000 to 2.200000,256.0,386.0,398.0
2.200000 to 2.400000,327.0,139.0,61.0
2.400000 to 2.600000,695.0,625.0,747.0
2.600000 to 2.800000,485.0,527.0,574.0
2.800000 to 3.000000,410.0,293.0,430.0
3.000000 to 3.200000,728.0,747.0,801.0
3.200000 to 3.400000,3093.0,2857.0,3370.0
3.400000 to 3.600000,2978.0,2670.0,3381.0
3.600000 to 3.800000,2770.0,2591.0,3037.0
3.800000 to 4.000000,2591.0,2331.0,2816.0
4.000000 to 4.200000,1729.0,1668.0,2032.0
4.200000 to 4.400000,1249.0,1031.0,1247.0
4.400000 to 4.600000,30.0,8.0,32.0
4.600000 to 4.800000,153.0,74.0,83.0
4.800000 to 5.000000,194.0,163.0,106.0
5.000000 to 5.200000,86.0,119.0,259.0
5.200000 to 5.400000,11.0,22.0,113.0
5.400000 to 5.600000,171.0,146.0,256.0
5.600000 to 5.800000,56.0,55.0,7.0
5.800000 to 6.000000,103.0,27.0,9.0
6.000000 to 6.200000,146.0,60.0,80.0
6.200000 to 6.400000,253.0,328.0,262.0
6.400000 to 6.600000,72.0,63.0,205.0
6.600000 to 6.800000,381.0,565.0,565.0
6.800000 to 7.000000,235.0,311.0,131.0
7.000000 to 7.200000,127.0,227.0,222.0
7.200000 to 7.400000,223.0,175.0,293.0
