Interval(second),B,G,R
0.000000 to 0.200000,3119.0,4331.0,5955.0
0.200000 to 0.400000,1478.0,1977.0,2328.0
0.400000 to 0.600000,5306.0,5787.0,7773.0
0.600000 to 0.800000,1306.0,4620.0,5156.0
0.800000 to 1.000000,6744.0,4004.0,1759.0
1.000000 to 1.200000,33112.0,26245.0,12967.0
1.200000 to 1.400000,24764.0,18547.0,12123.0
1.400000 to 1.600000,18285.0,11700.0,6173.0
1.600000 to 1.800000,22343.0,13808.0,2091.0
1.800000 to 2.000000,281.0,617.0,260.0
2.000000 to 2.200000,29421.0,22011.0,9815.0
2.200000 to 2.400000,6291.0,6709.0,5222.0
2.400000 to 2.600000,3577.0,3693.0,2733.0
2.600000 to 2.800000,3830.0,670.0,475.0
2.800000 to 3.000000,298.0,2578.0,3859.0
3.000000 to 3.200000,2079.0,2104.0,1924.0
3.200000 to 3.400000,2990.0,4014.0,3460.0
3.400000 to 3.600000,1995.0,2640.0,1869.0
3.600000 to 3.800000,5440.0,4389.0,3536.0
3.800000 to 4.000000,6202.0,8255.0,7984.0
4.000000 to 4.200000,33326.0,34085.0,24624.0
4.200000 to 4.400000,5797.0,9266.0,7778.0
4.400000 to 4.600000,16930.0,14382.0,10069.0
4.600000 to 4.800000,9671.0,3835.0,725.0
4.800000 to 5.000000,17250.0,10431.0,10197.0
5.000000 to 5.200000,4836.0,6326.0,8789.0
5.200000 to 5.400000,13303.0,6671.0,3725.0
5.400000 to 5.600000,7184.0,9528.0,6593.0
5.600000 to 5.800000,6464.0,5996.0,2654.0
5.800000 to 6.000000,4320.0,509.0,4437.0
6.000000 to 6.200000,1415.0,2320.0,4167.0
6.200000 to 6.400000,1992.0,9193.0,17352.0
6.400000 to 6.600000,14230.0,15825.0,12797.0
6.600000 to 6.800000,25204.0,21407.0,14653.0
6.800000 to 7.000000,18130.0,17972.0,12236.0
7.000000 to 7.200000,29815.0,29514.0,14982.0
7.200000 to 7.400000,26109.0,24467.0,17852.0
7.400000 to 7.600000,11678.0,10607.0,8268.0
7.600000 to 7.800000,26273.0,25735.0,20989.0
7.800000 to 8.000000,17020.0,8638.0,3460.0
8.000000 to 8.200000,36687.0,27112.0,12210.0
8.200000 to 8.400000,38819.0,29581.0,14226.0
8.400000 to 8.600000,48176.0,39092.0,22330.0
8.600000 to 8.800000,17550.0,17572.0,11254.0
8.800000 to 9.000000,19651.0,19900.0,13553.0
9.000000 to 9.200000,28465.0,24117.0,16718.0
9.200000 to 9.400000,6882.0,8432.0,10267.0
9.400000 to 9.600000,2583.0,4638.0,8068.0
9.600000 to 9.800000,2106.0,2246.0,1118.0
9.800000 to 10.000000,20061.0,17278.0,16068.0
10.000000 to 10.200000,13797.0,10541.0,3249.0
10.200000 to 10.400000,7286.0,5805.0,5843.0
10.400000 to 10.600000,2002.0,225.0,11443.0
10.600000 to 10.800000,24823.0,27525.0,17306.0
10.800000 to 11.000000,14734.0,6799.0,576.0
11.000000 to 11.200000,16263.0,11440.0,5491.0
11.200000 to 11.400000,268.0,5334.0,7986.0
11.400000 to 11.600000,6704.0,5704.0,4258.0
11.600000 to 11.800000,15214.0,10564.0,12406.0
11.800000 to 12.000000,17452.0,16644.0,2660.0
12.000000 to 12.200000,35806.0,35526.0,27521.0
12.200000 to 12.400000,40328.0,36216.0,30799.0
12.400000 to 12.600000,0.0,0.0,0.0
12.600000 to 12.800000,0.0,0.0,0.0
12.800000 to 13.000000,604.0,1132.0,1132.0
13.000000 to 13.200000,830.0,582.0,1030.0
13.200000 to 13.400000,974.0,974.0,974.0
13.400000 to 13.600000,1057.0,1073.0,1041.0
13.600000 to 13.800000,987.0,1011.0,921.0
13.800000 to 14.000000,821.0,964.0,1032.0
14.000000 to 14.200000,1196.0,1132.0,1645.0
14.200000 to 14.400000,1081.0,1243.0,1680.0
14.400000 to 14.600000,2032.0,2281.0,2701.0
14.600000 to 14.800000,1806.0,2138.0,2608.0
14.800000 to 15.000000,2351.0,2696.0,3102.0
15.000000 to 15.200000,2437.0,2670.0,2802.0
15.200000 to 15.400000,2534.0,2709.0,2888.0
15.400000 to 15.600000,3643.0,3788.0,3662.0
15.600000 to 15.800000,3941.0,4029.0,3864.0
15.800000 to 16.000000,3360.0,3302.0,3313.0
