Interval(second),B,G,R
0.000000 to 0.200000,818.0,1329.0,1681.0
0.200000 to 0.400000,878.0,915.0,1145.0
0.400000 to 0.600000,2478.0,2898.0,3243.0
0.600000 to 0.800000,1835.0,1543.0,2069.0
0.800000 to 1.000000,908.0,1271.0,1793.0
1.000000 to 1.200000,1335.0,1462.0,1711.0
1.200000 to 1.400000,105952.0,104279.0,100816.0
1.400000 to 1.600000,6973.0,8757.0,7448.0
1.600000 to 1.800000,179.0,1344.0,1264.0
1.800000 to 2.000000,5175.0,5121.0,5046.0
2.000000 to 2.200000,4255.0,3853.0,3439.0
2.200000 to 2.400000,4608.0,5105.0,2575.0
2.400000 to 2.600000,2819.0,3266.0,2490.0
2.600000 to 2.800000,27528.0,28992.0,23873.0
2.800000 to 3.000000,2117.0,2412.0,1503.0
3.000000 to 3.200000,1397.0,1066.0,160.0
3.200000 to 3.400000,1077.0,667.0,1016.0
3.400000 to 3.600000,4733.0,4612.0,2765.0
3.600000 to 3.800000,7723.0,8525.0,6407.0
3.800000 to 4.000000,3427.0,3817.0,3235.0
4.000000 to 4.200000,3425.0,3509.0,2520.0
4.200000 to 4.400000,103055.0,100827.0,101624.0
4.400000 to 4.600000,1564.0,1819.0,1779.0
4.600000 to 4.800000,1136.0,1593.0,1404.0
4.800000 to 5.000000,1450.0,1646.0,1659.0
5.000000 to 5.200000,3071.0,3061.0,3623.0
5.200000 to 5.400000,4115.0,4448.0,5888.0
5.400000 to 5.600000,9505.0,10654.0,13221.0
5.600000 to 5.800000,2355.0,5316.0,7734.0
5.800000 to 6.000000,412.0,505.0,353.0
6.000000 to 6.200000,7142.0,9414.0,11448.0
6.200000 to 6.400000,12511.0,12891.0,15479.0
6.400000 to 6.600000,3795.0,4246.0,4938.0
6.600000 to 6.800000,132.0,148.0,58.0
6.800000 to 7.000000,93.0,4.0,87.0
7.000000 to 7.200000,90221.0,83440.0,83775.0
7.200000 to 7.400000,8441.0,9513.0,8446.0
7.400000 to 7.600000,103807.0,97054.0,98041.0
7.600000 to 7.800000,2534.0,2461.0,3227.0
7.800000 to 8.000000,2758.0,2673.0,2853.0
8.000000 to 8.200000,960.0,1085.0,1137.0
8.200000 to 8.400000,303.0,89.0,124.0
8.400000 to 8.600000,598.0,685.0,718.0
8.600000 to 8.800000,3594.0,3541.0,3566.0
8.800000 to 9.000000,7316.0,7328.0,8983.0
9.000000 to 9.200000,1786.0,2167.0,2473.0
9.200000 to 9.400000,2552.0,2262.0,2727.0
9.400000 to 9.600000,203.0,303.0,502.0
9.600000 to 9.800000,107312.0,101806.0,98234.0
9.800000 to 10.000000,1925.0,2474.0,1855.0
10.000000 to 10.200000,105.0,291.0,76.0
10.200000 to 10.400000,1948.0,1487.0,1864.0
10.400000 to 10.600000,7015.0,4113.0,4537.0
10.600000 to 10.800000,12023.0,12103.0,9978.0
10.800000 to 11.000000,3105.0,2391.0,2696.0
11.000000 to 11.200000,22938.0,24873.0,18812.0
11.200000 to 11.400000,69979.0,63644.0,69557.0
11.400000 to 11.600000,473.0,517.0,503.0
11.600000 to 11.800000,1008.0,695.0,582.0
11.800000 to 12.000000,2079.0,2070.0,2280.0
12.000000 to 12.200000,5681.0,5320.0,5665.0
12.200000 to 12.400000,7.0,130.0,110.0
12.400000 to 12.600000,266.0,67.0,196.0
12.600000 to 12.800000,1342.0,1351.0,1584.0
12.800000 to 13.000000,634.0,751.0,763.0
13.000000 to 13.200000,53.0,205.0,392.0
13.200000 to 13.400000,549.0,643.0,709.0
13.400000 to 13.600000,578.0,591.0,572.0
13.600000 to 13.800000,2090.0,1712.0,1955.0
13.800000 to 14.000000,121685.0,118305.0,114276.0
14.000000 to 14.200000,1733.0,1672.0,1002.0
14.200000 to 14.400000,2552.0,2742.0,1818.0
14.400000 to 14.600000,910.0,1017.0,1192.0
14.600000 to 14.800000,4617.0,4503.0,2567.0
14.800000 to 15.000000,1429.0,1361.0,454.0
15.000000 to 15.200000,601.0,461.0,207.0
15.200000 to 15.400000,5004.0,4987.0,4388.0
15.400000 to 15.600000,4899.0,4547.0,3371.0
