Interval(second),Diff in reigon 1,2,3,4,5,6,7,8,9
0.000000 to 0.200000,0.09,1.07,0.12,0.2,1.24,0.24,1.19,0.44,0.54
0.200000 to 0.400000,0.33,1.02,0.28,0.03,1.71,0.37,4.24,0.6,1.07
0.400000 to 0.600000,0.12,0.14,0.04,0.08,0.78,0.1,1.31,0.46,0.07
0.600000 to 0.800000,0.26,0.12,0.02,0.13,1.49,0.21,0.29,1.04,0.45
0.800000 to 1.000000,0.39,0.11,0.06,0.01,1.88,0.06,0.49,1.41,0.09
1.000000 to 1.200000,0.29,0.59,0.03,0.14,1.65,0.06,1.31,1.25,0.24
1.200000 to 1.400000,0.11,0.12,0.15,0.19,1.28,0.22,1.39,1.15,1.22
1.400000 to 1.600000,0.27,0.1,0.03,0.14,2.89,0,1.8,2.47,0.35
1.600000 to 1.800000,0.37,0.08,0.1,0.21,0.8,0.15,1.71,1.46,1.41
1.800000 to 2.000000,0.32,0.38,0.12,0.13,1.97,0.09,1.19,1.58,0.4
2.000000 to 2.200000,0.19,0.1,0.17,0.12,3.12,0.19,1.47,0.13,0.11
2.200000 to 2.400000,0.09,0.63,0.03,0.1,1.12,0.07,0.27,0.11,1.07
2.400000 to 2.600000,0.17,0.54,0.1,0.21,0.57,0.22,1.03,0.03,1.13
2.600000 to 2.800000,0.14,0.44,0.04,0.1,0.16,0.11,0.75,0.17,1.09
2.800000 to 3.000000,0.07,0.63,0.03,0.21,0.05,0.23,0.71,0.03,1.66
3.000000 to 3.200000,0.3,0.34,0.28,0.38,0.89,0.45,2.45,3.97,0.62
3.200000 to 3.400000,0.48,1.62,0.14,0.38,3.83,0.41,9.21,24.83,7.48
3.400000 to 3.600000,0.01,1.04,0.06,0.07,3.5,0.05,9.67,27.42,8.11
3.600000 to 3.800000,0.17,0.89,0.31,0.11,3.37,0.27,9.36,28.66,9.14
3.800000 to 4.000000,0.1,1.09,0.04,0.01,2.56,0.08,7.11,25.23,8.1
4.000000 to 4.200000,0.05,0.94,0.01,0.27,1.91,0.02,5.74,19.52,6.98
4.200000 to 4.400000,0.48,0.18,0.23,0.49,1.85,0.17,3.66,12.91,5.11
4.400000 to 4.600000,0.05,0.29,0.01,0.09,0.32,0.02,0.08,0.01,0.01
4.600000 to 4.800000,0.13,0.08,0,0.09,0.21,0,0.16,0.19,0.03
4.800000 to 5.000000,0.22,0.27,0.06,0.02,0.47,0.07,0.09,0.06,0.04
5.000000 to 5.200000,0.1,0.53,0.04,0.07,0.02,0.08,0.03,0.46,0.14
5.200000 to 5.400000,0.34,0.24,0.09,0.12,0.68,0.12,0.22,0.39,0.32
5.400000 to 5.600000,0.2,0.31,0.02,0.18,0.02,0.03,0.29,0.36,0.21
5.600000 to 5.800000,0.02,0.05,0,0.11,0.09,0.02,0.02,0.24,0.17
5.800000 to 6.000000,0.08,0.53,0.06,0.14,0.17,0.13,0.16,0.21,0.08
6.000000 to 6.200000,0.05,0.06,0.02,0.1,0.14,0.01,0.02,0.21,0.14
6.200000 to 6.400000,0.07,1.09,0.06,0.03,0.18,0.06,0.04,0.22,0.11
6.400000 to 6.600000,0.09,1,0.01,0.04,2.04,0.02,0.04,0.25,0.09
6.600000 to 6.800000,0.02,0.89,0.03,0.11,0.29,0.12,0,0.79,0.03
6.800000 to 7.000000,0.12,0.05,0.01,0.01,0.7,0.04,0.29,0.9,0.25
7.000000 to 7.200000,0.18,0.79,0.1,0.33,0.36,0.09,0.03,0,0.05
7.200000 to 7.400000,0.09,0.2,0.05,0.2,0.66,0.06,0.48,0.73,0.48
